gain,offset,pedestal,n_pairs,R_sd,R_mad,R_err,plane_spread,R_at_offset,spatial_sd,fpn_ratio,sigmas_above_zero,zero_frac,zero_frac_gaussian
206,15,69.89871883392334,10.0,1.1348333799836976,1.048356495175127,0.0002785649256626516,0.004412083830775071,1.1348333799836976,1.1467154249548912,1.0104702991476724,61.59381638468148,0.0,0.0
208,15,70.24324588775636,10.0,1.166981820130734,1.048356495175127,0.000598947372328357,0.005327580815389199,1.166981820130734,1.1788593009114265,1.0101779484271332,60.192236653598584,0.0,0.0
210,15,70.65408906936645,10.0,1.1991398507931492,1.048356495175127,0.0006195379774210374,0.00649121315592649,1.1991398507931492,1.2118518307805062,1.0106009152968678,58.92064134357105,0.0,0.0
212,15,70.61414165496826,10.0,1.1985285634390592,1.048356495175127,0.0005597079707959189,0.004691660735687275,1.1985285634390592,1.21114139854908,1.010523599933096,58.91736234666612,0.0,0.0
214,15,70.97990608215332,10.0,1.2315890150263382,1.048356495175127,0.0003986020808755111,0.006802880671294975,1.2315890150263382,1.2446344926953314,1.0105923952794547,57.632785950624424,0.0,0.0
216,15,71.36873550415038,10.0,1.2638394758348803,1.048356495175127,0.000759985596388005,0.0036589196478855612,1.2638394758348803,1.2769363045692443,1.0103627311733654,56.469778693219624,0.0,0.0
218,15,71.36921243667602,10.0,1.2630349430730254,1.048356495175127,0.0004930995908154159,0.007267945856503699,1.2630349430730254,1.276254540681839,1.0104665335518348,56.506126634177875,0.0,0.0
220,15,71.78296136856079,10.0,1.3002378777452097,1.048356495175127,0.0005420387102601894,0.006057581090337383,1.3002378777452097,1.3140981167554855,1.01065977175985,55.207560552721525,0.0,0.0
230,15,73.06061782836915,10.0,1.4147738520404867,1.048356495175127,0.0007399612877404405,0.007470630050992355,1.4147738520404867,1.4312955275177957,1.011677962137539,51.64119885520641,0.0,0.0
240,15,74.97447290420533,10.0,1.5880377360616285,1.048356495175127,0.0005980300220980132,0.0021597225288740862,1.5880377360616285,1.6074633970856664,1.0122324933362188,47.21202223452436,0.0,0.0
250,15,76.66008272171021,10.0,1.7281476804634672,1.048356495175127,0.0008601620026060512,0.007095489381766518,1.7281476804634672,1.7480937927961349,1.0115419026731085,44.35968267547074,0.0,0.0
252,0,17.16902379989624,,,,,,1.7749549799687259,1.7961354315280913,1.011932951426035,9.67293480322456,0.00014801025390625,2.9649689722911793e-21
252,5,37.16858987808227,,,,,,1.7794636053706998,1.8011061310768128,1.0121623873850483,20.887524625905048,1.049041748046875e-06,1.1988260666290393e-94
252,10,57.16722822189331,,,,,,1.7794559767911196,1.8013828843832016,1.0123222534741336,32.126239124489366,0.0,7.656478996103129e-223
252,20,97.16938972473146,,,,,,1.7818069364304268,1.8033761590719224,1.0121052523707794,54.53418534748508,0.0,0.0
252,25,117.17098979949952,,,,,,1.7788863368453858,1.8009420871734618,1.0123986282154422,65.86760906111991,0.0,0.0
252,30,137.1677215576172,,,,,,1.779720060514519,1.801895561814308,1.0124601063907648,77.07263889465958,0.0,0.0
252,35,157.169100189209,,,,,,1.7821045184690227,1.802799415588379,1.0116126169396253,88.19297552998206,0.0,0.0
252,40,177.16855583190917,,,,,,1.7787989664284225,1.8016728103160857,1.0128591506512907,99.60010050356541,0.0,0.0
252,45,197.16753845214845,,,,,,1.779081957228064,1.8014847338199615,1.0125923240921417,110.82543873321579,0.0,0.0
252,50,217.16855010986328,,,,,,1.7816100516422928,1.8026569426059722,1.0118134105408074,121.89454696311168,0.0,0.0
260,15,78.39370641708373,10.0,1.8877087284131864,2.096712990350254,0.0007587293857741399,0.011522880947921088,1.8877087284131864,1.9121257588267326,1.0129347446701014,41.52849708068136,0.0,0.0
